time,a,b,c
0,1,1,1
1,5.76223788777792,4.46390893851692,4.41625045981991
2,269.941365408079,225.759383650741,499.974798825977
3,258.965628779551,177.368670371027,559.162287124028
4,270.706827274444,142.957396080912,581.605996274104
5,295.915543318183,122.419564631306,576.757462179662
6,325.112169804099,112.827659227322,557.043961452167
7,350.316053589063,111.225604849773,533.392013747753
8,366.898383510975,114.957663595104,513.075630489732
9,373.977959822803,121.43420264921,499.55285160391
10,373.498805657013,128.228559331707,493.287863814143
11,368.653945123947,133.547644629855,492.862388626597
12,362.460131783036,136.592483827243,496.046989536446
13,356.995519562156,137.483888678247,500.639075931136
14,353.275473074115,136.873287790374,504.974353781979
15,351.470846388416,135.531062986197,508.116311115701
16,351.234353516484,134.085567349819,509.789046412572
17,351.991209341834,132.924788026442,510.183384238694
18,353.164348109256,132.207647381045,509.719888260009
19,354.307824444472,131.923848346764,508.855738914336
20,355.160556635366,131.966380680279,507.958880239261
21,355.634687006715,132.19434607172,507.25729873103
22,355.768767212259,132.479185521238,506.840038571205
23,355.66734766571,132.730117133669,506.692474045186
24,355.449470118702,132.900464762192,506.741659691647
25,355.214422791115,132.981745898746,506.896515521071
26,355.025271512637,132.990304744915,507.077574428624
27,354.908838651406,132.953352920026,507.230991459763
28,354.86372065065,132.898070045486,507.331115788147
29,354.871979780363,132.845085392158,507.375427021013
30,354.910161618066,132.806107234827,507.375822635239
31,354.957129095738,132.784824959269,507.349871869686
32,354.998318527271,132.779233154267,507.314341755619
33,355.025846446775,132.784335297485,507.281563822398
34,355.038828421378,132.794624815806,507.258344783595
35,355.03999459479,132.805530574084,507.246321172585
36,355.033801255234,132.814191312762,507.243888976009
37,355.024626161023,132.819424135478,507.247713629486
38,355.016066449358,132.821470261545,507.254499716869
39,355.009700261207,132.821048558146,507.261289431097
40,355.006184522303,132.819315585595,507.266533455872
41,355.005201302355,132.817092360095,507.269726851828
42,355.006069070411,132.815070506256,507.270865158887
43,355.007888480198,132.813709672644,507.270393195106
44,355.009843698531,132.813103129464,507.26903599381
45,355.011355650835,132.813142437231,507.267481624237
46,355.012168244252,132.813565243123,507.266247306517
47,355.012350439455,132.814069797561,507.265563607422
48,355.012142627707,132.814469506315,507.265374913957
49,355.011790445576,132.814708975711,507.265490054867
50,355.011454004038,132.814809740606,507.265727173996
51,355.011202631766,132.814816528388,507.265972366741
52,355.01104979948,132.8147702133,507.266171538268
53,355.01098462531,132.814701826524,507.266304776247
54,355.010986436913,132.814633907686,507.26637041396
55,355.011029770281,132.814581264113,507.266379266537
56,355.011088756738,132.814550532453,507.266350669337
57,355.011142675211,132.81454073617,507.26630635951
58,355.011179515372,132.814545889974,507.266264318513
59,355.011197830946,132.814558219416,507.266233717076
60,355.011200374509,132.814571954551,507.266217526808
61,355.011193509404,132.814583072848,507.266213365163
62,355.0111832626,132.81458992682,507.266216827867
63,355.011171896989,132.814592554036,507.266225609665
64,355.011164183966,132.814592241954,507.266233649867
65,355.011158529572,132.814590525101,507.266241021989
