time,a,b,c
0,1,1,1
1,0.146709154926333,0.112448544748817,0.841908975175883
2,0.017175036033473,0.0122591735726737,0.503785306491002
3,0.00165193750154047,0.00133084725085795,0.290254729083721
4,0.000141256350368901,0.000144414846372024,0.166550623982745
5,1.13099677164593e-05,1.56752059583597e-05,0.0955288179609817
6,8.74689047794633e-07,1.70303558400277e-06,0.0547911628204776
7,7.10179089801039e-08,1.88243866417096e-07,0.0314259579518504
8,-6.3890309324629e-08,-1.55103493528101e-08,0.0180251812029577
9,8.31817385359768e-08,2.96605009116874e-08,0.0103386485441052
10,-2.02831950388691e-08,-9.78099680577362e-09,0.00592994227805282
11,-2.22455488111685e-09,-1.12926570658808e-09,0.0034013269954075
12,-1.97143740092561e-10,-1.3312888161283e-10,0.00195096523433629
13,6.95152646033712e-10,3.19823624263732e-10,0.00111872293697654
14,7.70464100491783e-09,4.03048088565299e-10,0.000641720582072481
15,-1.35526271353826e-08,-1.9198621586921e-10,0.000367999516632752
16,1.02157952565814e-07,1.03233504877336e-08,0.000211074296038146
17,3.63101837065405e-07,1.15348381355541e-08,0.000121232715365857
18,-3.39149185657329e-08,-2.99008102529538e-08,6.94990013579709e-05
19,3.90628065278904e-07,-7.42423392599621e-09,3.9913473727465e-05
20,2.26346741822319e-08,-9.40306384721762e-10,2.28869969458787e-05
21,1.7906685145719e-09,-1.06622005357803e-10,1.31153696312107e-05
22,2.51282749121858e-09,-1.04030173884694e-10,7.49476197621384e-06
23,5.01688633206195e-09,-7.61166198234765e-11,4.28117603082513e-06
24,5.36956638737494e-09,2.49276655440327e-10,2.46411475283535e-06
25,6.63035052825653e-09,1.07843952357394e-09,1.44258955222321e-06
26,1.57106716068448e-08,2.98640830398637e-09,8.46111869379501e-07
27,5.73785591610374e-08,7.40143949289902e-09,4.93260409910674e-07
28,1.18259142586419e-07,1.13598964750268e-08,2.80574447239062e-07
29,3.61613215954831e-08,3.88547153363139e-09,1.52428304045594e-07
30,-2.22234583108983e-09,6.41902895370983e-11,7.295259995486e-08
31,-6.14244394174667e-10,1.99297660045389e-11,4.6888528519045e-08
32,-1.69773592531531e-10,6.18778224479583e-12,3.01364737202812e-08
33,-4.69244369349026e-11,1.92117905967747e-12,1.93694934984515e-08
34,-1.29696417766192e-11,5.96486565525951e-13,1.24492759793366e-08
35,-3.58473321592244e-12,1.85196804567657e-13,8.00147264678263e-09
36,-9.90799036402952e-13,5.74997969851076e-14,5.14275405441376e-09
37,-2.73850805073365e-13,1.78525037785921e-14,3.30538145060485e-09
38,-7.56905733743396e-14,5.54283506856643e-15,2.1244544106922e-09
