time,a,b,c
0,1,1,1
1,258.455834823328,233.36473176554,505.60984135485
2,305.953016235976,393.93792596392,298.501919524168
3,274.511408026307,530.379662040517,193.759125948707
4,227.441391104391,624.186607955529,147.041353358149
5,184.665627586611,678.891114826845,135.037713639238
6,151.262660304159,699.266583183302,147.969794676996
7,127.681526514961,690.225368318444,180.514769229301
8,112.882946796749,660.359543087112,225.119854380134
9,105.466468902057,621.192637754018,271.648595860188
10,104.101937802347,583.048272686408,311.106329083876
11,107.487919297868,552.704192806932,338.02645793116
12,114.089604790232,533.300527736143,350.813135853475
13,122.032180821092,524.996782017647,351.183034871325
14,129.406476688592,525.806164169461,343.024598679197
15,134.818834897606,532.587039231618,330.861995178068
16,137.730964526768,542.044515441295,318.519544513092
17,138.375213137933,551.474937309505,308.46392786534
18,137.41325249983,559.107128336977,301.803866204598
19,135.600777938931,564.114652307273,298.611528153584
20,133.579555168379,566.437164971038,298.307780175714
21,131.795205492122,566.528944778239,299.99499204456
22,130.491914173649,565.105196176202,302.715702933515
23,129.745154672147,562.92579106168,305.635990393521
24,129.507830655055,560.642588204233,308.151989741502
25,129.657970280489,558.714456094919,309.92724302054
26,130.042801384415,557.384246979884,310.87146222541
27,130.515004268828,556.704664599854,311.07927111159
28,130.958391324116,556.587561889049,310.75441073999
29,131.298566491194,556.871814642122,310.131226098303
30,131.505983571837,557.370245415031,309.426871545174
31,131.585123007963,557.920845262392,308.798313843392
32,131.563323619121,558.402675725297,308.339031740649
33,131.478094349509,558.748817526766,308.078440078053
34,131.366285856273,558.939138658832,307.999901969844
35,131.257593427056,558.989503034367,308.057977922468
36,131.171241356977,558.936785884014,308.196690433688
37,131.115877803026,558.824540206897,308.363938532714
38,131.091635348497,558.693249035541,308.519175234974
39,131.092810437973,558.573827142006,308.637223854734
40,131.110759744918,558.484503857751,308.708502466661
41,131.136650288624,558.43187187162,308.735235144067
42,131.163109394721,558.413703781609,308.726995498133
43,131.185033998134,558.422153486002,308.696703536728
44,131.199785234911,558.446915597141,308.657277733428
45,131.206965033452,558.477950816592,308.61913760575
46,131.20776078017,558.507394492438,308.588950426068
47,131.204141557792,558.53034096569,308.569650711148
