time,a,b,c
0,1,1,1
1,5.96843875302935,3.22084073366129,1.34949968232014
2,172.059215279917,763.390266778744,56.4172471375918
3,188.839295381893,722.181099504804,82.2190830419639
4,222.284990822203,666.09415093965,106.105356957778
5,263.044373059882,608.268988124792,124.063359353388
6,304.399384943083,555.86364224361,135.6890737261
7,342.465717864982,511.710876438918,142.133583336023
8,375.382512206978,476.348891544466,144.796089974176
9,402.501905289408,449.272480832567,144.879168297811
10,423.84116628376,429.568159089681,143.310374692579
11,439.766523915411,416.205160264202,140.774458760848
12,450.82659128177,408.157155620442,137.762611387571
13,457.663275887339,404.445268373546,134.621069138598
14,460.965858385793,404.150217654058,131.586365074694
15,461.437837830455,406.418284108471,128.813406802837
16,459.769236594794,410.469677076,126.395357884426
17,456.609218643211,415.611310324235,124.378643553935
18,452.540377839224,421.250729616036,122.774945268334
19,448.059151784139,426.907007619855,121.57006380528
20,443.564085940538,432.215405625942,120.731064738619
21,439.352297964103,436.924626916109,120.212615614731
22,435.62430736264,440.886794769315,119.96221141099
23,432.494872371851,444.042220831936,119.924616692367
24,430.007457413017,446.401211096889,120.045645819669
25,428.150423079952,448.025003939945,120.275111885029
26,426.872816674942,449.00787357581,120.569002843747
27,426.09888851845,449.461431182479,120.890740914928
28,425.74027536399,449.502021473819,121.211664410483
29,425.705583022742,449.241321863619,121.510859335827
30,425.907087188042,448.780347487025,121.774594550473
31,426.267048282015,448.2040368356,121.995098330006
32,426.716896489476,447.583741724514,122.169859568887
33,427.201914919964,446.971457455831,122.299937021843
34,427.682362483272,446.405720822119,122.389177178144
35,428.125970965813,445.910130185509,122.442901800128
36,428.51549728336,445.497768896017,122.467518808447
37,428.84007724943,445.172459179613,122.469466726263
38,429.096612700122,444.931559631104,122.454576602651
39,429.286688378631,444.767760203748,122.428657006637
40,429.416036842523,444.670614127362,122.396506825508
41,429.493097919152,444.627969760834,122.36191891041
42,429.527356879194,444.62751754066,122.327790430569
43,429.528275000779,444.657748563367,122.296231298013
44,429.504909913803,444.708287960202,122.268609777144
45,429.465496244685,444.770218311788,122.245648208375
46,429.417064848288,444.836325772673,122.227558035029
47,429.36527437475,444.901135732847,122.21417373517
48,429.314423719322,444.960783411386,122.20507137375
49,429.267563718517,445.0128070168,122.19966541448
50,429.226650057834,445.055914187022,122.197291001431
51,429.192715551329,445.089746661554,122.19726847629
52,429.166053399013,445.114649995587,122.19895170709
53,429.146382868502,445.131478972784,122.201757990645
54,429.133047720406,445.141373909939,122.20519439455
55,429.125185510234,445.14558100847,122.208868868051
56,429.121824391251,445.145365247971,122.212480776338
57,429.121952043121,445.141952129442,122.215810351482
58,429.124592655465,445.136455300577,122.218714307004
59,429.128874941455,445.129815501423,122.221119028781
60,429.134067927778,445.122779066333,122.223006236245
61,429.139586164757,445.115909376648,122.224396123975
62,429.144981624058,445.109607844923,122.225334259611
63,429.149933988583,445.104132297748,122.225882770739
64,429.154239707393,445.09961526479,122.226112873081
65,429.157795447141,445.096087687693,122.226097534794
66,429.160576277496,445.09350653038,122.225905530947
67,429.162614192473,445.091779693335,122.225597885723
68,429.163980081375,445.090785516083,122.225226307091
69,429.164769126111,445.090387884957,122.224832623818
70,429.165088410603,445.090448637159,122.224448725055
71,429.165046503232,445.090837454317,122.22409705257
72,429.164745605074,445.091438613449,122.223791687175
73,429.164276537246,445.092154553802,122.223539795089
74,429.163716090748,445.092907047711,122.223343117065
75,429.163125992384,445.093636881742,122.223199335454
76,429.162552991087,445.094302554861,122.223103306173
77,429.162029843112,445.094878207867,122.22304816215
