time,a,b,c
0,1,1,1
1,4.6107694376729,2.38786157802331,0.655316718010026
2,268.621217164973,597.258285888364,128.416686368472
3,239.589751111539,661.572414181303,92.4129312826894
4,205.23278603533,695.402358203155,92.3048825391038
5,200.624712591297,689.607211549286,102.738655362544
6,208.332375498473,678.605513900604,106.23422608689
7,211.9514859907,676.895229608206,104.375594946773
8,210.978561320719,679.304356098277,102.903541669947
9,209.705146835599,680.523805814172,102.932610436564
10,209.566966035528,680.258290062617,103.338246870613
11,209.865371819235,679.84840868272,103.457030759073
12,209.995580655719,679.791744710625,103.385243671879
13,209.956354406488,679.883837911674,103.330972159411
14,209.908854817012,679.928254204122,103.333137067584
15,209.904640807041,679.917315880265,103.348381326177
16,209.915813705038,679.902104029592,103.352692540262
17,209.92066368605,679.900031758007,103.349979397206
18,209.919196236287,679.903414437737,103.348012594644
19,209.917565647123,679.90501008444,103.348014983757
20,209.91722977109,679.904856885054,103.348503055543
21,209.917573590393,679.904294335217,103.348731178411
22,209.917817159032,679.90411639767,103.348669476076
23,209.917790671882,679.904223931475,103.348586333916
24,209.917739208126,679.904267323416,103.348594970785
25,209.917763613808,679.904236929046,103.348600562492
26,209.917750379343,679.904277424335,103.348573033779
27,209.917695987436,679.904324154431,103.34857966997
28,209.917700326898,679.904276158532,103.348623860663
29,209.917739304488,679.904225108343,103.348636738079
30,209.917770383873,679.904205821546,103.348625737674
31,209.917786345126,679.904229202267,103.3485857121
32,209.917727774757,679.904312533898,103.348561187069
33,209.917700532734,679.904304036059,103.348592589008
34,209.917722767264,679.904275599317,103.348604523197
35,209.917660118931,679.904122697596,103.348573721783
36,209.91771742008,679.904257022178,103.348600683529
37,209.917725669216,679.904219061023,103.348590482653
38,209.91771071543,679.90415736421,103.348571685345
39,209.917759787163,679.904352746001,103.348609820198
40,209.917748920702,679.904348038075,103.348608900437
41,209.917676729996,679.904100409409,103.34855840845
42,209.917737676491,679.904266733355,103.348598195025
43,209.917747308944,679.904298476956,103.348600389547
44,209.917720678223,679.904243544176,103.348584072026
45,209.917731736312,679.904291720443,103.348598816939
46,209.917732899385,679.90426761267,103.348598922829
47,209.91773914892,679.904263640019,103.348596193698
48,209.917736365225,679.904273404107,103.348591791455
49,209.91772796479,679.90428237556,103.34859168478
50,209.917725854273,679.904281630681,103.348595551885
51,209.91772985763,679.904272965804,103.348597859472
52,209.917735435284,679.904269209947,103.348597592296
