time,a,b,c
0,1,1,1
1,419.638229105182,211.325757604628,367.346740471448
2,495.973956814494,294.691838922664,208.145273478453
3,503.667012655248,377.866430957727,117.544904764128
4,481.997344823653,451.00046528556,66.2321633216281
5,449.777996574026,512.144894154184,37.3887093921895
6,414.946592922284,563.081716239592,21.3209991158209
7,380.707741957647,606.256865944853,12.3946843700572
8,348.30830569977,643.637429961054,7.40566258605613
9,318.180425639529,676.571709582659,4.57915936310774
10,290.409107525988,705.945254861877,2.94774554418116
11,264.929523189359,732.349607758708,1.9863461956498
12,241.613993524289,756.19957144989,1.40862489851381
13,220.311768297536,777.803788683941,1.05698588016387
14,200.867648250812,797.404897515051,0.843997923618418
15,183.130775789514,815.201764780906,0.721484102846822
16,166.958699288481,831.361479801917,0.664535594353239
17,152.219191590753,846.025055567462,0.664051578848348
18,138.791104766505,859.308217432403,0.725174249172298
19,126.565077360251,871.29612234225,0.872015296870905
20,115.44493192693,882.026698219762,1.16328064378017
21,105.351174002775,891.44787929185,1.7324615904353
22,96.229573270986,899.311751190932,2.88751438610495
23,88.0705202490776,904.929630994672,5.34184530343126
24,80.9430385988756,906.746143039139,10.6127336643298
25,75.0149588276169,902.23794719683,21.0873250562609
26,70.4790531217305,889.474913996734,38.4846836284256
27,67.4258133781981,869.218266544138,61.8950517630353
28,65.8394097964886,844.189985684958,88.5814336191892
29,65.6723156534231,817.160646411132,115.820859390472
30,66.8866305798722,790.222933793236,141.567320588308
31,69.4578241041894,764.840528283229,164.389869644941
32,73.3590169004434,742.03098064312,183.303943973695
33,78.5339907584623,722.500759410416,197.663745561568
34,84.8657123475823,706.713103791758,207.126038205332
35,92.1468317630666,694.918911635258,211.648990981736
36,100.06842701251,687.16419064053,211.496186118294
37,108.231224421853,683.292448447048,207.223057158635
38,116.18858745668,682.963675959138,199.615189847763
39,123.506470431903,685.688637194693,189.594395413843
40,129.824819099143,690.88121708858,178.105279335163
41,134.898736929193,697.916438720089,166.016334337469
42,138.6134763156,706.184435230855,154.051104638428
43,140.973940166401,715.131278975774,142.757919565882
44,142.078247908899,724.283423572105,132.511870474104
45,142.085573208001,733.256886826936,123.537738634667
46,141.186293092438,741.754359431435,115.942672271742
47,139.579416145892,749.555397647268,109.748502516466
48,137.456163304662,756.504152699969,104.920371573136
49,134.990639843484,762.496956502982,101.388421926341
50,132.335493920696,767.472205943621,99.0622063044542
51,129.620276359491,771.403014759346,97.8396344790178
52,126.95204133208,774.29234517873,97.6112065497327
53,124.416896351167,776.170036000288,98.2614097587662
54,122.081909767951,777.090878832004,99.6687199897728
55,119.997093691511,777.132741355929,101.70549152168
56,118.197308640392,776.394065311588,104.238563572658
57,116.703998119109,774.990370833741,107.131034798146
58,115.52671397306,773.049616674901,110.245401389437
59,114.664506076071,770.706683028999,113.44771088391
60,114.107231069484,768.097844106199,116.611759095627
61,113.83669223319,765.354557685102,119.624241637534
62,113.827953707009,762.599062680356,122.387786432802
63,114.050314946775,759.939656464973,124.824732267459
64,114.468781402327,757.467771521366,126.878576395392
65,115.045293638864,755.256090228197,128.514628426036
66,115.740158237307,753.357564735629,129.719557970284
67,116.513543217192,751.805649683948,130.499665915531
68,117.32693358877,750.615422952615,130.87830851762
69,118.144475250873,749.785378041294,130.892763003146
70,118.93415840292,749.299701371606,130.590769864431
71,119.668890667512,749.131114354192,130.026620192452
72,120.327015389226,749.243536872628,129.2579778647
73,120.89258229938,749.594765360028,128.342937472832
74,121.355419919911,750.139106954516,127.33730560581
75,121.710898487061,750.829783529738,126.292460841629
76,121.959374435419,751.620928224604,125.253886641498
77,122.105455378152,752.46925918289,124.260249579629
78,122.15720400474,753.335271228449,123.342996965502
79,122.125317629403,754.184205859342,122.526203218434
80,122.022308802601,754.98668633858,121.826756655214
81,121.861726076282,755.719003529681,121.254848494886
82,121.657449964996,756.363204657645,120.814584310208
83,121.4230975615,756.906959077158,120.504714299069
84,121.171541816506,757.343225480365,120.319443542625
85,120.914531116151,757.669825433276,120.249236147517
86,120.662409802081,757.888897923424,120.281641132803
87,120.423936185422,758.006252812002,120.402118998452
88,120.206182536671,758.030706210441,120.5948048212
89,120.014511364444,757.973385741531,120.843228318572
90,119.852616522108,757.847022728836,121.130979582029
91,119.722611631973,757.665291564831,121.44228065741
92,119.6251618577,757.442187499454,121.762477849922
93,119.559650063071,757.191456902785,122.078444820518
94,119.524362680272,756.926119419432,122.378874481826
95,119.516691882385,756.65806767137,122.654479003907
96,119.533343205219,756.397761231718,122.898087358591
97,119.570542479619,756.154012051864,123.104654312975
98,119.624234586076,755.93386141088,123.271184804243
99,119.690268591682,755.742540004351,123.396589374587
100,119.764564057931,755.583503471017,123.481482676444
101,119.843254748138,755.458531762203,123.527940868031
102,119.92280684143,755.367880645599,123.539232214546
103,120.000110147746,755.31047222775,123.519535689857
104,120.072541899156,755.284111865915,123.473660506974
105,120.138003916148,755.285719220638,123.406778105348
106,120.194934879122,755.311562514641,123.324175740469
107,120.24230030614,755.357486377843,123.231038736014
108,120.279563427487,755.419125320635,123.132266141343
109,120.306640578052,755.492096549913,123.032322483904
110,120.323844900199,755.572167574671,122.935126371221
111,120.331822148043,755.655395682594,122.843975087955
112,120.331482191118,755.73823786438,122.761503016771
113,120.323929500523,755.817631082453,122.689670716687
114,120.310395483276,755.891043905764,122.629780777955
115,120.292175008791,755.956501402416,122.582516230655
116,120.270569068311,756.01258601403,122.547996838852
117,120.246834885531,756.058417535777,122.525848860901
118,120.222144355031,756.093615696363,122.515283892374
119,120.197551243946,756.11824900616,122.515182702005
120,120.173967205239,756.132773557572,122.524180325199
121,120.152146308087,756.137965348083,122.540749140623
122,120.132677511299,756.134849468225,122.563277161413
123,120.115984293679,756.124629183245,122.590139296571
124,120.102330503925,756.10861755734,122.619759869316
125,120.091831393194,756.088173840805,122.650665206478
126,120.084468741844,756.064646383153,122.681525621724
127,120.080108985459,756.039323368861,122.711186588071
128,120.078523279245,756.013392215456,122.738689318099
129,120.079408506922,755.987908042052,122.763281334969
130,120.082408333283,755.963771223059,122.784417917807
131,120.087133512565,755.941713696823,122.80175553724
132,120.093180792107,755.922293409749,122.81513855909
133,120.100149886506,755.905896047454,122.824580587661
134,120.107658135922,755.892743037126,122.830241849441
135,120.115352597039,755.882904701909,122.832403986824
136,120.122919444693,755.876317391681,122.831443558562
137,120.13009067727,755.872803423451,122.827805420462
138,120.13664822235,755.872092708843,122.821977011926
139,120.142425625059,755.873845029822,122.814464405037
140,120.147307569768,755.877672035688,122.805770792793
141,120.151227535507,755.883158167561,122.79637791042
142,120.154163917365,755.889879862327,122.786730706246
143,120.156134961152,755.897422538659,122.777225413012
144,120.15719285835,755.90539501698,122.768201021571
145,120.157417334752,755.913441167891,122.759934029929
146,120.156909041573,755.921248715077,122.752636233689
147,120.155783024611,755.928555235455,122.746455240352
148,120.15416250773,755.935151498993,122.741477329511
149,120.152173183828,755.94088237167,122.737732242956
150,120.149938161772,755.945645567087,122.735199471218
151,120.147573673379,755.949388575445,122.733815604203
152,120.14518560214,755.952104123823,122.733482330576
153,120.142866856305,755.953824530407,122.734074700841
154,120.140695574186,755.954615309302,122.735449309734
155,120.138734120015,755.954568364319,122.737452101166
156,120.137028804166,755.953795080721,122.739925552915
157,120.135610243421,755.952419588005,122.742715052094
158,120.134494263887,755.950572424559,122.745674327819
159,120.13368324161,755.948384789785,122.748669860155
160,120.133167773235,755.945983523008,122.751584233458
161,120.132928570795,755.943486902968,122.754318445937
162,120.132938480171,755.941001318657,122.756793224872
163,120.13316453125,755.938618822857,122.758949427855
164,120.133569938614,755.936415545021,122.760747634331
165,120.134115984043,755.934450910849,122.762167048586
166,120.134763725523,755.932767592427,122.763203845452
167,120.13547549118,755.931392095237,122.763869093835
168,120.136216130082,755.930335876636,122.764186391413
169,120.136954004634,755.92959688415,122.764189337339
170,120.137661721018,755.929161400756,122.763918959294
171,120.138316604438,755.929006087519,122.76342119771
172,120.138900934661,755.929100120878,122.762744534417
173,120.139401964335,755.929407331765,122.761937836052
174,120.139811747804,755.92988826582,122.761048465306
175,120.140126811672,755.930502097529,122.760120696001
176,120.140347700197,755.931208345375,122.759194451883
177,120.140478429018,755.931968349554,122.758304374178
178,120.140525879773,755.93274648773,122.757479209942
179,120.140499166126,755.933511117414,122.756741502202
180,120.140408998802,755.934235245298,122.756107554026
181,120.140267073646,755.934896934112,122.755587632011
182,120.140085502731,755.93547946607,122.755186370174
183,120.13987630427,755.935971288599,122.754903332829
