time,a,b,c
0,1,1,1
1,0.140002879252839,0.122315349185671,0.739524070316264
2,0.0171112931967138,0.0117501953811566,0.507334843903589
3,0.00188497869843166,0.0010923472693437,0.345176815396231
4,0.000193321792167186,0.000101163560906036,0.234671349421329
5,1.89314337245539e-05,9.39216963866615e-06,0.15953529130822
6,1.76269056902312e-06,8.55956325797327e-07,0.108457953306359
7,1.42583268144385e-07,6.93100400738431e-08,0.0737341534095709
8,6.5218143371941e-08,3.08260582489814e-08,0.0501269082548724
9,1.65758028919927e-09,1.53192758625997e-11,0.0340781344955899
10,1.34692903029142e-07,6.18678488674623e-08,0.0231677565217643
11,-4.97094840057768e-09,-1.36437806696961e-09,0.0157505328118953
12,4.43887306258522e-09,1.82185745655669e-09,0.0107080266531003
13,3.17619354813789e-10,1.35072698818875e-10,0.00727992080362742
14,9.73625612726883e-10,3.03719184716037e-10,0.00494916674867994
15,-8.96529427478853e-09,-3.59048663057305e-09,0.00336447882632044
16,-2.42379538569181e-09,-3.98656233505093e-10,0.00228732479329874
17,2.29411081576671e-08,6.84852474395638e-09,0.00155500909392714
18,-1.25154497783332e-07,-5.29379127494753e-08,0.0010574519945527
19,-4.87479761417481e-07,-1.65740563348091e-07,0.000718863361218069
20,-1.77530540900208e-07,9.53614108664077e-09,0.000488603615263228
21,3.1788176651438e-07,1.79138796090256e-07,0.000332376503361869
22,1.15222168707668e-07,3.84905843940709e-08,0.000226315491428241
23,-1.45710313306136e-07,-7.02733163457742e-08,0.000154078716802801
24,-3.50370784021587e-08,-4.06585628671634e-09,0.000104798818121492
25,9.49703344668206e-08,4.46586758175995e-08,7.1272582744828e-05
26,1.18177534560362e-08,-1.90032688356907e-09,4.85249221060206e-05
27,-5.85026277326322e-08,-2.70367529354049e-08,3.3057061644664e-05
28,-1.55245569755984e-09,3.46319242429617e-09,2.24966114992046e-05
29,3.85444937076397e-08,1.72912757094789e-08,1.5292394750126e-05
30,1.71905977415608e-08,4.52010985347134e-09,1.0402373967388e-05
31,-1.67090190467924e-08,-8.97188114840831e-09,7.08964996391182e-06
32,-1.20701602958822e-08,-4.2366476847047e-09,4.83419124985649e-06
33,7.0302263110735e-09,4.10376812188738e-09,3.29001867729453e-06
34,8.35513355337711e-09,3.26290758669522e-09,2.2353816103311e-06
35,-2.38012692300047e-09,-1.70755788248842e-09,1.52073290139916e-06
36,-5.2965649090543e-09,-2.23321719856381e-09,1.03737493026686e-06
37,2.49895109337053e-10,5.07198108517704e-10,7.07741339912889e-07
38,3.08431171327835e-09,1.3892667119036e-09,4.81340839588213e-07
39,4.99376567384839e-10,2.40795480928708e-12,3.2669352012627e-07
40,-1.6369714030546e-09,-7.88385520446699e-10,2.22268542408065e-07
41,-1.11338535603175e-10,7.6295010341274e-11,1.51924832530799e-07
42,1.36545432316736e-09,8.10419436324023e-10,1.04184435357601e-07
43,1.65961934055941e-09,8.45875474241566e-10,7.12491960609077e-08
44,5.88558843269216e-10,2.78833214350239e-10,4.83758509748359e-08
45,-1.19184404589638e-10,-7.40952420863981e-11,3.26488644120129e-08
46,-2.61074596927452e-10,-1.22678834666515e-10,2.20326996315046e-08
47,-6.3945606196168e-11,-2.18449792315185e-11,1.49097902360585e-08
48,4.64427415873692e-11,3.47085602979364e-11,1.01715755449469e-08
49,8.27385285174777e-11,4.44281180428052e-11,6.95367423854773e-09
50,3.86504781446423e-11,2.07167395463413e-11,4.80951149718907e-09
51,8.54183688685089e-12,4.33496936914028e-12,3.25572013529686e-09
52,-3.3151006749192e-12,-1.92042824704412e-12,2.08034861789295e-09
53,-9.66676633905406e-13,-5.68246495586233e-13,1.50110024811725e-09
54,-2.81880954925269e-13,-1.68141706092599e-13,1.08313670891316e-09
55,-8.21959174133563e-14,-4.97524112288329e-14,7.81550154073095e-10
56,-2.39681635895417e-14,-1.47215255548785e-14,5.63936794224794e-10
57,-6.98906811913203e-15,-4.35603640728327e-15,4.0691529036638e-10
58,-2.03799815514247e-15,-1.28893253018112e-15,2.93614559698253e-10
59,-5.94276148092727e-16,-3.81389619375363e-16,2.11861072089914e-10
60,-1.73289725172218e-16,-1.12851556122054e-16,1.52870872320557e-10
61,-5.0530934057357e-17,-3.33922924803947e-17,1.10305793195128e-10
62,-1.47347183696253e-17,-9.88063643438129e-18,7.95924549111776e-11
63,-4.29661413321612e-18,-2.92363803430806e-18,5.74308809654404e-11
64,-1.2528840081538e-18,-8.65091981920265e-19,4.14399341262608e-11
65,-3.65338447724396e-19,-2.55977015075277e-19,2.99014765492144e-11
66,-1.06531953890215e-19,-7.57425032438776e-20,2.15757654705494e-11
67,-3.10645027108532e-20,-2.2411882551102e-20,1.55682497776981e-11
68,-9.05834628425125e-21,-6.63158012968087e-21,1.12334554929988e-11
69,-2.64139549148217e-21,-1.96225617888648e-21,8.1056332031592e-12
70,-7.70225593446692e-22,-5.80623205372242e-22,5.84871588845523e-12
71,-2.24596228286919e-22,-1.71803921549143e-22,4.22021040016172e-12
72,-6.54918068030173e-23,-5.08360451090496e-23,3.04514292731993e-12
73,-1.90972787190228e-23,-1.5042168158158e-23,2.19725903857198e-12
74,-5.56872808121393e-24,-4.4509131134135e-24,1.58545834968161e-12
75,-1.62382991308705e-24,-1.31700612138232e-24,1.14400629805068e-12
76,-4.7350553810163e-25,-3.896964689181e-25,8.25471328365356e-13
77,-1.38073262972912e-25,-1.15309515591196e-25,5.95628638683489e-13
78,-4.02618858998379e-26,-3.41195916472897e-26,4.29782916776151e-13
79,-1.17402849857305e-26,-1.00958409911721e-26,3.10114966870777e-13
80,-3.42344349912162e-27,-2.9873160960626e-27,2.23767136671356e-13
81,-9.98269241838966e-28,-8.83934034380884e-28,1.61461834491084e-13
82,-2.9109330399566e-28,-2.61552293768544e-28,1.16504703885605e-13
83,-8.48822222299627e-29,-7.73922031676286e-29,8.40653524732629e-14
84,-2.475148535469e-29,-2.29000213488467e-29,6.06583532746705e-14
85,-7.21748336894018e-30,-6.77601820743857e-30,4.37687550666606e-14
86,-2.10460364032488e-30,-2.00499475734556e-30,3.15818649314583e-14
87,-6.13698190414975e-31,-5.93269358776233e-31,2.27882696464589e-14
88,-1.78953158543657e-31,-1.75545861540675e-31,1.64431465528322e-14
89,-5.21823812631694e-32,-5.19432683454687e-32,1.18647476422121e-14
90,-1.52162774686678e-32,-1.53697905648673e-32,8.56114954404094e-15
91,-4.43703591899716e-33,-4.54785517993864e-33,6.17739910916195e-15
92,-1.29383075374444e-33,-1.34569086354192e-33,4.45737567806378e-15
93,-3.77278446669201e-34,-3.98184161230181e-34,3.21627234751453e-15
94,-1.10013636566475e-34,-1.17820987382843e-34,2.32073950203872e-15
95,-3.20797552508807e-35,-3.48627253906347e-35,1.67455714392004e-15
96,-9.35439213787444e-36,-1.03157310820482e-35,1.20829659071613e-15
97,-2.7277219412927e-36,-3.05238063188607e-36,8.71860752221627e-16
98,-7.95398234256653e-37,-9.03186351777528e-37,6.29101478151107e-16
99,-2.31936526037099e-37,-2.67248972004238e-37,4.53935641446679e-16
100,-6.76322247061964e-38,-7.9077825851508e-38,3.2754265207133e-16
101,-1.97214207562021e-38,-2.33987898793574e-38,2.36342289810091e-16
102,-5.7507266444767e-39,-6.92360167876158e-39,1.705355855167e-16
103,-1.67690032824303e-39,-2.04866407422377e-39,1.23051976651713e-16
104,-4.88980764467804e-40,-6.061909225497e-40,8.8789614859656e-17
105,-1.42585807869712e-40,-1.79369296901879e-40,6.406720088081e-17
106,-4.15777349196669e-41,-5.30746064882498e-41,4.62284495229532e-17
107,-1.2123983914512e-41,-1.57045486743671e-41,3.33566866651786e-17
108,-3.53532933536062e-42,-4.64690867034819e-42,2.40689133371528e-17
109,-1.03089492674937e-42,-1.375000366983e-42,1.73672102102432e-17
110,-3.00606888124379e-43,-4.06856717728803e-43,1.25315167436826e-17
111,-8.76563642356465e-44,-1.20387159695283e-43,9.04226470435504e-18
112,-2.55604195863707e-44,-3.56220447837318e-44,6.52455346435565e-18
113,-7.4533669646047e-45,-1.05404104373426e-44,4.70786902483417e-18
114,-2.1733868225967e-45,-3.11886229053252e-45,3.3970187980384e-18
115,-6.3375522808268e-46,-9.22857989746185e-46,2.45115925132023e-18
116,-1.84801750404586e-46,-2.73069725400718e-46,1.76866306386123e-18
117,-5.38878188917178e-47,-8.08001618438954e-47,1.2761998355603e-18
118,-1.57135796525146e-47,-2.39084217205666e-47,9.20857145469237e-19
119,-4.58204823602296e-48,-7.07439955717919e-48,6.6445540794907e-19
120,-1.33611605385418e-48,-2.09328452038996e-48,4.79445689621914e-19
121,-3.89608755170232e-49,-6.19393921404606e-49,3.45949730481615e-19
122,-1.13609129736469e-49,-1.83276007697943e-49,2.49624135978116e-19
123,-3.31281938308555e-50,-5.42305854754335e-50,1.80119259454467e-19
124,-9.66011472000952e-51,-1.60465979041582e-50,1.29967190469393e-19
125,-2.81687003161726e-51,-4.74811957201494e-51,9.37793695669597e-20
126,-8.21393638171576e-52,-1.4049482391722e-51,6.76676176857689e-20
127,-2.39516733557415e-52,-4.15718164805064e-52,4.88263730542354e-20
128,-6.98425979798378e-53,-1.2300922392039e-52,3.52312492616796e-20
