time,a,b,c
0,1,1,1
1,0.869546025355709,2.56652854822236,3.37614260470987
2,257.350640766774,305.365954439243,432.027950848075
3,242.27795140928,295.971446329434,456.406876637644
4,243.312552005499,283.722235886443,467.561729602502
5,248.83419304104,279.234118464421,466.522202817053
6,251.899428638545,280.308239401677,462.398889604761
7,251.995792471678,282.379145287813,460.24317430957
8,251.092999437944,283.297515084793,460.229620955808
9,250.517174665109,283.20121797575,460.899370650332
10,250.45115057643,282.854042839666,461.310477743415
11,250.592250700589,282.673732862967,461.349187176517
12,250.698796194495,282.673434447229,461.243273743262
13,250.719100728542,282.730006411088,461.166831087591
14,250.69792003113,282.764547654271,461.153593727076
15,250.67858892151,282.767744341782,461.169618610568
16,250.67348641678,282.758830798825,461.183572945607
17,250.676457642309,282.752348168288,461.18706024593
18,250.679864349103,282.75120547027,461.184800079586
19,250.681037939566,282.752502581584,461.182340350454
20,250.680731516738,282.753686734799,461.181467939592
21,250.680155761589,282.754038167637,461.181692492006
22,250.679905615645,282.75387654467,461.182102453006
23,250.679906708872,282.753687205248,461.182286575418
24,250.679967362953,282.75362980151,461.182292157223
25,250.679979367835,282.753622276569,461.182267772919
26,250.679989659266,282.753622646732,461.182295497916
27,250.679999736754,282.753600728298,461.182276317355
28,250.680026396924,282.753611440249,461.182246421208
29,250.680031321724,282.753637687971,461.182214892062
30,250.680019198315,282.753657900662,461.182207326849
31,250.680005434333,282.753659697911,461.182218917628
32,250.679998909554,282.753650990607,461.182234049439
33,250.680000072042,282.753640763711,461.182242443254
34,250.680004807422,282.753635594708,461.182242528328
35,250.680009041509,282.753635851358,461.182238804509
36,250.680010532087,282.753638145578,461.182234909907
37,250.680009617935,282.753640087076,461.182233886824
38,250.680008746497,282.753640805374,461.182234040989
39,250.680008220117,282.753640898513,461.182234473025
40,250.680007993751,282.753640776992,461.182234819525
41,250.680007939834,282.753640640431,461.182235009094
42,250.680007955918,282.753640551755,461.18223508126
43,250.680007985904,282.753640510687,461.182235092218
44,250.680008008412,282.753640498951,461.182235081456
45,250.680008020176,282.753640500102,461.182235068586
46,250.680008024366,282.753640504505,461.182235060031
47,250.680008024785,282.753640508156,461.182235055981
48,250.680008023964,282.753640510196,461.18223505477
49,250.680008023102,282.753640510995,461.182235054835
50,250.680008022557,282.753640511134,461.18223505524
51,250.680008022311,282.75364051103,461.182235055588
