time,a,b,c
0,1,1,1
1,523.843377906311,349.005044490795,124.424888755851
2,555.148037183139,310.892090302396,131.341854437763
3,580.877033813677,290.738186377205,125.719376744311
4,589.598140050527,288.389733796972,119.271658600991
5,586.752707743047,294.128475104337,116.339369426269
6,581.291539371736,299.515661862297,116.411815675399
7,578.193601969958,301.485170276833,117.553531826557
8,577.845151441958,300.998396107425,118.399412237011
9,578.710495584748,299.913693552994,118.622056975088
10,579.496498087481,299.267022269121,118.481334378351
11,579.779225702742,299.170700325761,118.292662399021
12,579.705936107353,299.334928128023,118.200508512437
13,579.546447492573,299.495460411344,118.199369925917
14,579.451629009345,299.557647552704,118.232378248712
15,579.437908873167,299.54614644462,118.257918179924
16,579.462132326557,299.514609096532,118.265356458793
17,579.485723611279,299.494678271459,118.26166437239
18,579.494877983994,299.490990577426,118.256112450734
19,579.493297854624,299.495451088964,118.253190657538
20,579.488694051086,299.500248401494,118.252987561222
21,579.485756414314,299.502269432041,118.253901032006
22,579.485174004577,299.502128722287,118.254664782681
23,579.485726391817,299.501292283774,118.25493572103
24,579.486358796232,299.500661693605,118.254876185554
25,579.486812826147,299.500526957888,118.254743832001
26,579.486589455547,299.500505382693,118.25460280957
27,579.486592396421,299.500707570204,118.254607888162
28,579.486428357874,299.500736786442,118.25461428853
29,579.486477951933,299.500792592418,118.254650481938
30,579.486505982252,299.500786154685,118.254666880863
31,579.486530814868,299.500764377699,118.254668789415
32,579.486540803192,299.500752382408,118.254662735363
33,579.486540899845,299.500755998102,118.254658522014
34,579.486534623555,299.500762700067,118.254658083355
35,579.486529938802,299.500765833834,118.254659654449
36,579.486529855941,299.500764660256,118.25466092857
37,579.486532278964,299.500762124933,118.254661043563
38,579.486534597166,299.50076042816,118.254660415271
39,579.486535102959,299.500760503691,118.254659826681
40,579.486534815686,299.500761164202,118.254659448455
41,579.486534064086,299.500761888261,118.254659475976
42,579.486533596221,299.500762264861,118.254659568181
43,579.486533378948,299.500762389075,118.254659662334
44,579.486533318353,299.500762387923,118.254659724849
45,579.486533329922,299.500762346046,118.254659755556
46,579.486533361195,299.500762305166,118.254659765302
47,579.48653338821,299.500762278628,118.254659764833
48,579.486533404567,299.500762265892,118.254659761173
49,579.486533411822,299.500762262049,118.254659757722
50,579.486533413603,299.50076226244,118.254659755522
51,579.486533412979,299.500762264086,118.254659754487
52,579.486533411779,299.500762265579,118.254659754188
53,579.486533410802,299.500762266511,118.254659754234
54,579.486533410233,299.500762266938,118.254659754377
55,579.486533409993,299.500762267054,118.254659754503
56,579.486533409943,299.500762267028,118.25465975458
57,579.486533409973,299.500762266965,118.254659754614
58,579.486533410018,299.50076226691,118.254659754623
59,579.486533410053,299.500762266878,118.254659754621
60,579.486533410073,299.500762266863,118.254659754615
61,579.486533410081,299.50076226686,118.25465975461
62,579.486533410082,299.500762266861,118.254659754608
63,579.486533410081,299.500762266864,118.254659754607
64,579.486533410079,299.500762266866,118.254659754606
65,579.486533410078,299.500762266867,118.254659754607
66,579.486533410077,299.500762266867,118.254659754607
67,579.486533410077,299.500762266868,118.254659754607
68,579.486533410077,299.500762266867,118.254659754607
69,579.486533410077,299.500762266867,118.254659754607
70,579.486533410077,299.500762266867,118.254659754607
71,579.486533410077,299.500762266867,118.254659754607
72,579.486533410077,299.500762266867,118.254659754607
73,579.486533410077,299.500762266867,118.254659754607
74,579.486533410077,299.500762266867,118.254659754607
75,579.486533410077,299.500762266867,118.254659754607
76,579.486533410077,299.500762266867,118.254659754607
77,579.486533410077,299.500762266867,118.254659754607
78,579.486533410077,299.500762266867,118.254659754607
79,579.486533410077,299.500762266867,118.254659754607
80,579.486533410077,299.500762266867,118.254659754607
81,579.486533410077,299.500762266867,118.254659754607
82,579.486533410077,299.500762266867,118.254659754607
83,579.486533410077,299.500762266867,118.254659754607
84,579.486533410077,299.500762266867,118.254659754607
85,579.486533410077,299.500762266867,118.254659754607
86,579.486533410077,299.500762266867,118.254659754607
87,579.486533410077,299.500762266867,118.254659754607
88,579.486533410077,299.500762266867,118.254659754607
89,579.486533410077,299.500762266867,118.254659754607
90,579.486533410077,299.500762266867,118.254659754607
91,579.486533410077,299.500762266867,118.254659754607
92,579.486533410077,299.500762266867,118.254659754607
93,579.486533410077,299.500762266867,118.254659754607
94,579.486533410077,299.500762266867,118.254659754607
95,579.486533410077,299.500762266867,118.254659754607
96,579.486533410077,299.500762266867,118.254659754607
97,579.486533410077,299.500762266867,118.254659754607
98,579.486533410077,299.500762266867,118.254659754607
99,579.486533410077,299.500762266867,118.254659754607
100,579.486533410077,299.500762266867,118.254659754607
101,579.486533410077,299.500762266867,118.254659754607
102,579.486533410077,299.500762266867,118.254659754607
103,579.486533410077,299.500762266867,118.254659754607
104,579.486533410077,299.500762266867,118.254659754607
105,579.486533410077,299.500762266867,118.254659754607
106,579.486533410077,299.500762266867,118.254659754607
107,579.486533410077,299.500762266867,118.254659754607
108,579.486533410077,299.500762266867,118.254659754607
109,579.486533410077,299.500762266867,118.254659754607
110,579.486533410077,299.500762266867,118.254659754607
111,579.486533410077,299.500762266867,118.254659754607
112,579.486533410077,299.500762266867,118.254659754607
113,579.486533410077,299.500762266867,118.254659754607
114,579.486533410077,299.500762266867,118.254659754607
115,579.486533410077,299.500762266867,118.254659754607
116,579.486533410077,299.500762266867,118.254659754607
117,579.486533410077,299.500762266867,118.254659754607
118,579.486533410077,299.500762266867,118.254659754607
119,579.486533410077,299.500762266867,118.254659754607
120,579.486533410077,299.500762266867,118.254659754607
